FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 17:38:52.113	135131.59912690
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
79.616	98.972	509.645
79.531	95.409	509.181
79.494	91.668	508.794
79.483	87.765	508.411
79.436	83.818	508.030
79.437	79.715	507.819
79.379	75.700	507.398
79.358	71.504	507.127
79.310	67.309	507.004
79.330	62.935	506.813
79.279	58.662	506.562
79.213	54.419	506.426
79.217	50.005	506.374
79.223	45.572	506.350
79.146	41.289	506.418
79.199	36.789	506.547
79.176	32.466	506.670
79.118	28.174	506.865
79.058	23.779	507.078
79.049	19.629	507.214
79.123	15.422	507.367
79.139	11.340	507.618
79.122	7.171	508.033
79.095	3.317	508.383
79.083	-0.436	508.713
79.079	-4.275	509.246
79.065	-7.872	509.621
79.065	-11.367	510.015
79.033	-14.857	510.497
78.997	-18.061	511.056
79.045	-21.222	511.455
78.039	-22.174	511.495
78.996	-27.164	512.400
80.136	-32.445	513.288
80.103	-35.016	513.732
80.095	-37.366	514.198
78.960	-36.974	514.181
78.029	-36.847	514.017
77.986	-38.609	514.402
77.966	-40.302	514.805
77.940	-41.811	515.141
77.982	-43.005	515.334
77.928	-44.176	515.594
77.995	-45.017	515.707
77.925	-45.822	515.930
77.926	-46.328	516.025
77.957	-46.648	516.078
77.981	-46.781	516.062
77.971	-46.740	516.111
77.946	-46.520	516.092
77.921	-46.123	515.988
77.983	-45.378	515.778
77.963	-44.627	515.580
77.934	-43.627	515.456
77.962	-42.393	515.144
77.992	-40.951	514.848
77.951	-39.427	514.574
77.927	-37.661	514.287
77.957	-35.718	513.791
77.974	-33.605	513.365
77.997	-31.317	512.877
77.974	-28.860	512.571
78.032	-26.153	512.042
78.024	-23.468	511.623
78.056	-20.578	511.152
78.037	-17.542	510.677
78.067	-14.300	510.267
78.076	-11.005	509.841
78.096	-7.639	509.416
78.157	-4.007	508.883
78.130	-0.357	508.478
79.001	1.394	508.604
79.104	5.284	508.095
79.084	9.269	507.780
78.999	13.364	507.505
79.087	17.567	507.210
79.135	21.761	506.995
79.091	25.945	507.078
79.115	30.230	506.602
79.102	34.595	506.487
79.173	38.869	506.394
79.244	43.147	506.497
79.236	47.580	506.362
79.323	51.768	506.590
79.249	56.266	506.529
79.339	60.443	506.703
79.330	64.726	506.857
79.359	69.040	507.026
79.430	73.069	507.246
79.500	77.153	507.634
79.540	81.134	508.020
79.576	85.072	508.312
79.591	89.071	508.595
79.642	92.814	509.019
79.701	96.359	509.596
79.691	100.007	509.869
79.769	103.312	510.498
79.801	106.597	510.915
79.846	109.732	511.329
79.861	112.758	511.765
79.867	115.700	512.097
79.914	118.322	512.635
79.969	120.762	513.214
79.946	123.275	513.494
80.004	125.483	513.848
80.045	127.474	514.301
80.070	129.335	514.682
80.105	131.029	514.949
80.092	132.605	515.337
80.151	133.852	515.648
80.125	135.091	515.768
80.163	136.002	516.015
80.223	136.648	516.265
80.165	137.315	516.402
80.223	137.573	516.481
80.183	137.855	516.444
79.518	139.125	516.129
80.171	137.617	516.336
80.159	137.197	516.335
80.153	136.604	516.126
80.132	135.839	515.905
80.116	134.897	515.712
80.075	133.772	515.545
80.082	132.394	515.266
80.117	130.767	515.037
80.022	129.203	514.562
79.982	127.376	514.146
79.944	125.368	513.768
79.910	123.147	513.445
79.916	120.653	513.130
79.836	118.238	512.549
79.786	115.596	512.031
79.775	112.687	511.580
79.791	109.547	511.200
79.735	106.420	510.735
79.658	103.209	510.267
79.621	99.821	509.768
79.594	96.289	509.357
79.564	92.612	509.068
79.503	88.926	508.546
79.504	85.034	508.228
79.502	81.058	508.009
79.490	77.082	507.652
79.419	73.001	507.488
79.302	69.182	507.004
79.344	64.808	507.004
79.295	60.663	506.622
79.236	56.572	506.513
79.267	52.169	506.550
79.174	48.004	506.413
79.211	43.472	506.519
79.137	39.224	506.412
79.098	34.963	506.476
79.114	30.645	506.710
79.137	26.394	506.996
79.105	22.278	506.914
79.123	18.205	507.197
78.256	16.044	507.051
79.039	10.080	507.923
79.106	6.131	508.056
79.105	2.388	508.572
79.061	-1.432	508.853
79.055	-5.031	509.231
78.135	-6.387	509.213
78.085	-9.811	509.666
79.011	-15.236	510.582
80.131	-20.874	511.469
79.071	-21.399	511.408
78.037	-22.157	511.430
78.042	-24.895	511.920
78.041	-27.402	512.292
78.045	-29.826	512.702
78.006	-32.089	513.123
78.005	-34.148	513.513
77.990	-36.069	513.862
77.943	-37.802	514.280
77.944	-39.343	514.513
77.984	-40.629	514.782
77.954	-41.866	515.122
77.974	-42.783	515.233
77.942	-43.636	515.419
77.942	-44.231	515.578
77.971	-44.670	515.567
77.986	-44.901	515.626
77.987	-44.936	515.659
77.989	-44.843	515.557
77.962	-44.539	515.548
77.918	-44.009	515.524
77.965	-43.262	515.332
77.958	-42.430	515.105
77.976	-41.296	514.876
77.931	-40.020	514.707
77.970	-38.520	514.397
77.986	-36.902	513.982
77.998	-35.038	513.666
77.966	-33.116	513.385
77.971	-30.949	512.921
78.029	-28.601	512.533
78.037	-26.116	512.061
78.951	-25.697	512.229
80.091	-25.464	512.150
80.049	-22.457	511.760
78.954	-16.952	510.771
79.018	-13.731	510.305
78.948	-10.310	509.953
80.179	-9.614	509.869
79.062	-3.406	509.042
79.031	0.335	508.687
79.068	4.022	508.405
79.102	7.990	507.913
79.120	11.900	507.638
79.058	15.900	507.523
79.069	20.023	507.238
79.085	24.185	506.957
79.122	28.412	506.715
79.202	32.553	506.689
79.210	36.767	506.543
79.188	41.118	506.368
79.254	45.223	506.503
79.232	49.548	506.524
79.291	53.712	506.611
79.294	58.002	506.727
79.416	62.009	506.913
79.363	66.282	507.060
79.408	70.413	507.237
79.473	74.346	507.630
79.570	78.296	507.925
79.578	82.223	508.179
79.600	86.067	508.503
79.585	89.982	508.687
79.625	93.638	509.085
79.705	97.017	509.604
79.691	100.482	510.082
79.787	103.693	510.432
79.829	106.780	511.009
79.847	109.852	511.347
79.867	112.749	511.746
79.852	115.583	512.096
79.931	118.022	512.615
79.985	120.366	513.067
79.964	122.744	513.393
79.984	124.879	513.766
80.012	126.760	514.177
80.077	128.455	514.632
79.422	131.417	514.474
80.095	131.484	515.123
80.072	132.778	515.370
80.118	133.776	515.525
80.119	134.648	515.719
80.162	135.212	515.939
79.475	137.071	515.613
80.175	135.935	516.043
80.181	135.996	516.078
79.483	137.263	515.692
79.448	137.009	515.572
80.132	135.155	515.789
80.102	134.505	515.682
80.088	133.651	515.521
80.071	132.603	515.338
80.069	131.366	515.034
79.391	131.276	514.464
80.027	128.400	514.442
81.529	123.713	514.490
79.933	124.844	513.710
79.916	122.728	513.310
79.215	121.851	512.586
79.876	118.047	512.502
79.801	115.547	512.032
79.775	112.793	511.565
79.735	109.898	511.147
79.723	106.839	510.658
79.692	103.639	510.344
79.603	100.454	509.897
79.630	96.962	509.533
79.548	93.580	509.043
79.500	89.963	508.637
79.511	86.144	508.336
79.447	82.475	507.880
79.436	78.590	507.666
79.369	74.650	507.365
79.333	70.680	507.229
79.295	66.706	506.875
79.324	62.490	506.811
79.248	58.398	506.595
79.225	54.206	506.439
79.196	50.044	506.527
79.215	45.750	506.501
79.195	41.543	506.660
79.211	37.303	506.463
79.167	33.126	506.574
79.146	28.949	506.793
79.166	24.807	506.994
79.105	20.746	507.155
79.080	16.700	507.309
79.088	12.748	507.544
78.255	10.851	507.471
79.160	5.068	508.072
80.193	-1.178	509.040
79.065	-2.218	508.976
79.081	-5.715	509.346
79.087	-9.078	509.705
79.016	-12.396	510.178
78.991	-15.545	510.661
78.088	-16.477	510.605
79.035	-21.434	511.464
80.104	-26.880	512.400
80.106	-29.474	512.804
80.109	-31.953	513.221
80.096	-34.247	513.642
80.039	-36.294	514.074
80.065	-38.351	514.381
80.059	-40.116	514.767
80.016	-41.563	515.081
80.067	-43.117	515.302
79.999	-44.324	515.666
80.065	-45.424	515.767
79.997	-46.314	515.997
80.005	-46.957	516.182
80.018	-47.448	516.227
80.087	-47.869	516.216
80.085	-47.976	516.239
80.082	-47.943	516.239
80.094	-47.774	516.187
79.968	-47.185	516.281
