FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 12:12:55.637	115575.15614330
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
106.004	-20.814	437.559
106.006	-21.626	437.601
106.061	-22.077	437.707
106.055	-22.565	437.763
106.087	-22.898	437.792
106.058	-23.097	437.806
106.083	-23.130	437.832
106.006	-23.113	437.802
105.971	-22.899	437.746
106.190	-22.282	437.741
106.138	-21.844	437.656
106.093	-21.189	437.585
106.162	-20.378	437.565
105.953	-19.668	437.403
105.943	-18.502	437.337
105.941	-17.375	437.240
105.967	-16.093	437.086
105.876	-14.635	437.032
105.769	-13.243	436.836
105.780	-11.486	436.730
105.763	-9.745	436.588
105.601	-7.996	436.413
105.654	-5.828	436.271
105.608	-3.900	436.071
105.580	-1.593	435.902
105.490	0.613	435.854
105.466	2.969	435.690
105.400	5.379	435.529
105.358	7.990	435.457
105.341	10.513	435.370
105.330	13.250	435.237
105.302	16.049	435.149
105.269	18.709	435.142
105.280	21.640	435.093
105.220	24.517	435.015
105.229	27.418	435.016
105.153	30.335	435.032
105.096	33.374	435.008
105.191	36.371	435.023
105.104	39.412	435.039
105.084	42.442	435.191
105.082	45.426	435.224
105.062	48.409	435.359
105.119	51.612	435.526
105.190	54.572	435.650
105.169	57.632	435.803
105.143	60.522	435.948
105.122	63.549	436.214
105.043	66.365	436.452
105.088	69.334	436.663
105.085	72.036	436.943
105.099	74.676	437.098
105.137	77.437	437.345
105.057	80.072	437.638
105.084	82.559	437.903
105.083	84.950	438.102
105.058	87.377	438.417
105.097	89.763	438.715
105.013	92.022	439.035
104.989	94.003	439.283
104.962	95.998	439.548
104.919	97.927	439.831
104.976	99.781	440.028
